연번,구,유형,주소,세부위치,위도,경도
127,도봉구,일반쓰레기,방학동 710 ,방학사거리 사계공원 겨울,37.66237852,127.0429404
128,도봉구,일반쓰레기,마들로 55,쌍용아파트상가 앞,37.62086395,127.0693255
129,도봉구,일반쓰레기,노해로69길 97 ,동아 청솔아파트상가 앞,37.65682596,127.0493338
130,도봉구,일반쓰레기,마들로11길 74 ,창동역1번출구마을버스정류장앞,37.65407686,127.0487368
131,도봉구,일반쓰레기,마들로11길 57 ,창동역1번출구 8번마을버스정류장앞,37.65350769,127.0501588
132,도봉구,일반쓰레기,노해로69길 2,창동역1번출구 민물장어 앞,37.65326493,127.0509078
133,도봉구,일반쓰레기,마들로11길 37 ,창동역1번출구 론스타 앞,37.65374031,127.0511961
134,도봉구,일반쓰레기,마들로11길 20 ,창동역1번출구 농협하나로마트 정문 앞,37.65535142,127.0529698
135,도봉구,일반쓰레기,노해로 392 , 창4동 주민센터 앞,37.65227994,127.0517101
136,도봉구,일반쓰레기,노해로 391 ,창4동 주민센터 맞은편,37.65284172,127.0516103
137,도봉구,일반쓰레기,노해로70길 96 ,월천초교 앞 ,37.64804715,127.0517532
138,도봉구,일반쓰레기,덕릉로66길 17 ,녹천역3번출구 주공17단지1710동 앞,37.64410145,127.0538201
139,도봉구,일반쓰레기,노해로70길 126 ,주공17단지 1806동 버스정류장 앞,37.6469845,127.0528747
140,도봉구,일반쓰레기,마들로 551 ,동아청솔아파트 117동 담장옆,37.66029889,127.0480118
141,도봉구,일반쓰레기,마들로 551 ,동아청솔아파트 117동 담장옆,37.66029889,127.0480118
142,도봉구,일반쓰레기,노해로69길 132  ,시립창동운동장 및 문화체육센터,37.65811677,127.0507049
143,도봉구,일반쓰레기,노해로69길 132  ,시립창동청소년수련관 앞,37.65811677,127.0507049
144,도봉구,일반쓰레기,마들로 552 ,순복음한성교회 앞,37.66061041,127.0493372
145,도봉구,일반쓰레기,도봉로 528 ,현대리바트 앞,37.65222178,127.037255
146,도봉구,일반쓰레기,도봉로 552 ,도봉구민회관 앞,37.65416759,127.0386849
147,도봉구,일반쓰레기,도봉로 578 ,보건소 사거리 우리은행 앞,37.65629638,127.0397048
148,도봉구,일반쓰레기,도봉로 610 ,경복궁앞,37.658914,127.0412206
149,도봉구,일반쓰레기,도봉로136다길 4,가인초교 앞,37.65974191,127.042926
150,도봉구,일반쓰레기,도봉로136다길 4,가인초교 앞,37.65974191,127.042926
151,도봉구,일반쓰레기,창동 330 ,창동역 2번 출구 공영주차장 앞,36.63325774,128.1921564
152,도봉구,일반쓰레기,노해로 327 ,하누소 앞,37.65150756,127.0448073
