연번,구,유형,주소,세부 위치,위도,경도
2,관악구,폐형광등,신림로 29길 8,신림현대아파트 110동 분리수거장,,
2,관악구,폐형광등,서림3길 47,서림경로당 앞,,
2,관악구,폐형광등,복은길 76,제일성도교회 앞,,
2,관악구,폐형광등,신림로8길 32 건너편,,,
2,관악구,폐형광등,광신길 160,신림주공아파트1단지 관리사무소 옆,,
2,관악구,폐형광등,호암로 541,태흥아파트 관리사무소 앞,,
2,관악구,폐형광등,양지길 50-5,우정아파트1단지 관리사무소 옆,,
2,관악구,폐형광등,양지길 52-1,우정아파트2단지 관리사무소 앞,,
2,관악구,폐형광등,호암로16길 5,신림서초아파트 관리사무소 앞,,
2,관악구,폐형광등,호암로16길 11,청화아파트 관리사무소 앞,,
2,관악구,폐형광등,호암로 520,삼성동 자치회관,,
2,관악구,폐형광등,호암로 589,삼성동주민센터 주차장,,
2,관악구,폐형광등,호암로 519,벽산블루밍아파트 103동 앞,,
2,관악구,폐형광등,호암로 546,미림여고 창고,,
2,관악구,폐형광등,대학18길 6,신림동금호타운1차아파트 102동 주차장,,
2,관악구,폐형광등,신림로 67,서울산업정보학교,,
2,관악구,폐형광등,대학7길 26,관악아파트,,
2,관악구,폐형광등,신림로3가길 7,신림동금호타운2차아파트,,
2,관악구,폐형광등,대학20길 27,신림동현대아파트 정문 경비실 옆,,
2,관악구,폐형광등,신림로23길 17,관악청소년회관,,
2,관악구,폐형광등,신림로3길 40,"신림건영3차아파트 7동 앞, 재활용창고 옆",,
2,관악구,폐형광등,신림로23길 103,신림현대맨션 101동 앞,,
2,관악구,폐건전지,봉천로 279-8,보라매동주민센터,,
2,관악구,폐건전지,봉천로13길 101,연희빌라 정문앞 ,,
2,관악구,폐건전지,봉천로13나길 15,성도연립 입구 옆,,
2,관악구,폐건전지,봉천로 13다길 8,적성빌라,,
2,관악구,폐건전지,보라매로3길 29,해태보라매타워 주차장 입구,,
2,관악구,폐건전지,보라매로 62,보라매삼성아파트 105동 앞,,
2,관악구,폐건전지,보라매로 62,보라매삼성아파트 103동 앞,,
2,관악구,폐건전지,보라매로 62,보라매삼성아파트 101동 앞,,
2,관악구,폐건전지,보라매로 62,보라매삼성아파트 107동 앞,,
2,관악구,폐건전지,보라매로6길 33,해바라기아파트,,
2,관악구,폐건전지,봉천로23다길 33,그린아파트,,
2,관악구,폐건전지,은천로5길 39,복권아파트,,
2,관악구,폐건전지,양녕로 31,두산아파트 301동,,
2,관악구,폐건전지,봉천로33나길 30,은천동주민센터 주차장,,
2,관악구,폐건전지,국회단지4길 4,은천동자치회관헬스장,,
2,관악구,폐건전지,국회단지21길 14,국지경로당,,
2,관악구,폐건전지,은천로15길 24,벽산블루밍 3차 605동,,
2,관악구,폐건전지,은천로15길 24,벽산블루밍 3차 604동,,
2,관악구,폐건전지,은천로15길 24,벽산블루밍 3차 601동,,
2,관악구,폐건전지,관악로 285,성현동아아파트 관리사무소,,
2,관악구,폐건전지,관악로 285,성현동아아파트 110동,,
2,관악구,폐건전지,성현로 80,관악드림타운 115동,,
2,관악구,폐건전지,은천로33길 5,동부센트레빌아파트 106동 지하입구,,
2,관악구,폐건전지,구암5가길 32,덕산빌라 옆,,
2,관악구,폐건전지,은천로35길 40,전주 옆,,
2,관악구,폐건전지,구암길 38,성현동 주민센터,,
2,관악구,폐건전지,관악로 255-7,자치회관 후문,,
2,관악구,폐건전지,은천로33길 5,관악동부센트레빌아파트 103동 뒤 분리수거장,,
2,관악구,폐건전지,관악로 285,성현동아아파트 103동,,
2,관악구,폐건전지,구암길 106,관악드림타운 145동,,
2,관악구,폐건전지,성현로 80,관악드림타운 144동,,
2,관악구,폐건전지,성현로 80,관악드림타운 121동,,
2,관악구,폐건전지,성현로 80,관악드림타운 105동,,
2,관악구,폐건전지,성현로 80,관악드림타운 102동,,
2,관악구,폐건전지,관악로 285,성현동아아파트 105동,,
2,관악구,폐건전지,관악로37길 15,동아타운 21,,
2,관악구,폐건전지,양녕로6나길 18,신봉아파트 정문 왼쪽,,
2,관악구,폐건전지,은천로 34길 24,에메랄드아파트 주변,,
2,관악구,폐건전지,양녕로 6다길 7,중앙동주민센터,,
2,관악구,폐건전지,은천로 174,중앙동성당 주차장 오른쪽,,
2,관악구,폐건전지,관악로30길 27,관악푸르지오아파트 119동,,
2,관악구,폐건전지,관악로30길 27,관악푸르지오아파트 107동,,
2,관악구,폐건전지,관악로 304,관악현대아파트 113동,,
2,관악구,폐건전지,관악로40길 39,청림동 주민센터,,
2,관악구,폐건전지,관악로 304,관악현대아파트 109동,,
2,관악구,폐건전지,관악로 304,관악현대아파트 116동,,
2,관악구,폐건전지,관악로30길 12,봉천우성아파트 104동,,
2,관악구,폐건전지,행운1길 43,행운동주민센터,,
2,관악구,폐건전지,관악로30길 12,봉천우성아파트 109동 임대,,
2,관악구,폐건전지,관악로30길 12,봉천우성아파트 106동,,
2,관악구,폐건전지,행운9길 34,행운동 경로당,,
2,관악구,폐건전지,청룡15길 30,관악그린빌라,,
2,관악구,폐건전지,관악로5길 42,갑을아파트 지하 주차장 입구,,
2,관악구,폐건전지,장군봉7길 12,비안 어린이공원,,
2,관악구,폐건전지,쑥고개로 44,청룡동주민센터 입구,,
2,관악구,폐건전지,쑥고개로 44,청룡동주민센터 지하주차장,,
2,관악구,폐건전지,청룡동 1531-41,장군봉 근린공원 입구,,
2,관악구,폐건전지,낙성대로 37,낙성대현대아파트 관리사무소,,
2,관악구,폐건전지,관악로 1,서울대가족생활관 933동 관리사무실,,
2,관악구,폐건전지,낙성대로 101,과학전시관,,
2,관악구,폐건전지,낙성대동 1510,탑골어린이공원 앞,,
2,관악구,폐건전지,인헌12길 46-1,은천2단지아파트 주차장,,
2,관악구,폐건전지,남부순환로246가길 20,인헌동 주민센터 주차장,,
2,관악구,폐건전지,인헌16길 70 ,반석아파트 건너편,,
2,관악구,폐건전지,남부순환로246가길 20,인헌동 주민센터 주차장,,
2,관악구,폐건전지,인헌12길 46-1,은천2단지 아파트 주차장,,
2,관악구,폐건전지,봉천로 611-1,동방전기철물,,
2,관악구,폐건전지,인헌1다길 25,,,
2,관악구,폐건전지,인헌9길 35,"인헌중, 인헌고 사이 도로",,
2,관악구,폐건전지,인헌21길 5,,,
2,관악구,폐건전지,남현길 63,상록보육원 내,,
2,관악구,폐건전지,승방6길 5,,,
2,관악구,폐건전지,남현1가길 29,남현동주민센터 앞,,
2,관악구,폐건전지,승방1길 2,굿마트 옆,,
2,관악구,폐건전지,남현길 144,흥화브라운빌아파트 내,,
2,관악구,폐건전지,신림동길 14,신림동 주민센터,,
2,관악구,폐건전지,신림동길 14,신림동 주민센터,,
2,관악구,폐건전지,관천로 24길 3,보라매갑을아파트,,
2,관악구,폐건전지,관천로27길 2,우방아파트 단지내,,
2,관악구,폐건전지,조원로 151-1,신사동 자치회관,,
2,관악구,폐건전지,신사로 142,신사동주민센터,,
2,관악구,폐건전지,조원로11길 24,조원아파트,,
2,관악구,폐건전지,조원로13길 15,현대아파트,,
2,관악구,폐건전지,조원로14길 16,윤정아파트,,
2,관악구,폐건전지,조원로2길 13,미성아파트,,
2,관악구,폐건전지,조원로16길 27,신림중앙시장,,
2,관악구,폐건전지,조원로16길 7,신도브레뉴아파트,,
2,관악구,폐건전지,조원로12길 25,조원동주민센터,,
2,관악구,폐건전지,조원로13길 36,제창그로힐아파트,,
2,관악구,폐건전지,미성길 122,쌍용아파트 102동 분리수거장 내,,
2,관악구,폐건전지,미성5길 33,한양아파트 관리사무소 옆,,
2,관악구,폐건전지,미성5길 40,초원아파트 분리수거장 내,,
2,관악구,폐건전지,난곡로47길 9,한라타운아파트,,
2,관악구,폐건전지,난곡로 249,미성동주민센터,,
2,관악구,폐건전지,남부순환로 1430,신림푸르지오아파트 102동 앞,,
2,관악구,폐건전지,난곡로64가길 11,미성경로당 뒤,,
2,관악구,폐건전지,미성3길 16,동부센트레빌 103동,,
2,관악구,폐건전지,남부순환로 1430,신림푸르지오아파트 112동 앞,,
2,관악구,폐건전지,문성로 74,건영아파트 분리수거장,,
2,관악구,폐건전지,남부순환로144길 65,한별유치원,,
2,관악구,폐건전지,남부순환로 1430,"신림푸르지오아파트 106,107,111,119동",,
2,관악구,폐건전지,난곡로 167,임광아파트 101동,,
2,관악구,폐건전지,난곡로30길 40,난곡동주민센터,,
2,관악구,폐건전지,난곡동 645-1,무궁화놀이터,,
2,관악구,폐건전지,난곡동 610-298 앞,보명어린이 공원,,
2,관악구,폐건전지,난곡로26나길 37,길 건너편 주차장,,
2,관악구,폐건전지,난향길 9,난향초등학교 후문,,
2,관악구,폐건전지,난곡로 67,난향동주민센터,,
2,관악구,폐건전지,난향길 41,국화빌라 앞,,
2,관악구,폐건전지,난곡로 101 앞,보성운수 옆,,
2,관악구,폐건전지,신림로 282,서원동주민센터,,
2,관악구,폐건전지,문성로32길 18,신일경로당,,
2,관악구,폐건전지,남부순환로170길 4,신원동경로당 옆,,
2,관악구,폐건전지,신림동 98-402,서광어린이공원 앞,,
2,관악구,폐건전지,신림로28길 57,신성초등학교 북서측 외벽,,
2,관악구,폐건전지,신림로29길 6,서림동주민센터,,
